occ_day,occ_month,occ_year,division
1,January,2020,D51
11,January,2020,D43
13,January,2020,D42
20,January,2020,D43
20,January,2020,D13
25,January,2020,D43
31,January,2020,D14
31,January,2020,D14
5,February,2020,D55
7,February,2020,D22
21,February,2020,D42
24,February,2020,D32
11,March,2020,D12
13,March,2020,D42
15,March,2020,D13
18,March,2020,D41
21,March,2020,D51
5,April,2020,D42
5,April,2020,D53
5,April,2020,D43
8,April,2020,D13
14,April,2020,D33
21,April,2020,D22
26,April,2020,D31
2,May,2020,D41
14,May,2020,D53
14,May,2020,D23
17,May,2020,D42
19,May,2020,D41
26,May,2020,D52
30,May,2020,D23
9,June,2020,D53
19,June,2020,D13
25,June,2020,D51
4,July,2020,D42
9,July,2020,D51
10,July,2020,D12
10,July,2020,D43
3,August,2020,D55
9,August,2020,D14
11,August,2020,D14
12,August,2020,D43
20,August,2020,D32
22,August,2020,D43
22,August,2020,D43
26,August,2020,D51
2,September,2020,D31
7,September,2020,D23
10,September,2020,D11
12,September,2020,D23
12,September,2020,D12
12,September,2020,D12
20,September,2020,D42
24,September,2020,D31
27,September,2020,D31
27,September,2020,D23
28,September,2020,D33
1,October,2020,D12
3,October,2020,D31
7,October,2020,D32
25,October,2020,D41
7,November,2020,D31
16,November,2020,D43
18,November,2020,D14
22,November,2020,D33
2,December,2020,D13
6,December,2020,D14
8,December,2020,D55
8,December,2020,D52
18,December,2020,D53
21,December,2020,D33
